Name,Address,Latitude,Longitude,Phone number,Maintenance frequency,Last maintenance
"Plateau sportif de GrammontTerrain 9, 10, 11",avenue albert Einstein 34000 Montpellier,3.93392108647369,43.6136351580956,+33 4 67 64 87 70,Tous les ans,2019-05-15
MEDIATHEQUE JEAN-JACQUES ROUSSEAU,,,,,,
MEDIATHEQUE William SHAKESPEARE,,,,,,
MIBI,,,,,,
MAISON POUR TOUS LEO LAGRANGE,155 Rue de Bologne 34172 Montpellier,,,+33 4 67 40 33 57,Tous les ans,2020-10-06
Piscine M. SPILLIAERT,154 rue C.Desmoulins Montpellier,3.84314264933544,43.5982457955311,+33 4 67 42 00 92,,
Hôtel de Ville,1 place Georges Frêche 34267 Montpellier,3.8965223400675,43.5987299511122,+33 4 67 34 70 00,Tous les ans,2019-05-15
Centre municipal Garosud,3490 avenue Etienne Méhul 34070 Montpellier,3.85859224065433,43.5725732270947,+33 4 67 34 74 62,Tous les ans,2019-11-07
MOCO,,,,,,
Le Petit Prince de Boutonnet,20 Rue Emile Littré 34090 Montpellier,,,+33 4 67 72 13 12,Tous les ans,2020-11-06
EHPAD Pierre LAROQUE,830 rue de Salaison 34000 Montpellier,,,+33 4 67 16 67 00,,
BELEM,,,,,,
EHPAD Françoise GAUFFIER,135 Zac Ovalie rue André Puig Aubert 34000 Montpellier,,,+33 4 99 54 96 70,,
Crèche Edelweiss,21 rue Général Riu 34000 Montpellier,,,+33 4 67 64 08 11,Tous les ans,2020-11-05
Crèche Robin des bois,280 boulevard Pénélope 34000 Montpellier,,,+33 4 99 64 22 50,Tous les ans,2020-11-09
EHPAD Simone DEMANGEL,570 rue Rouget de L'Isle 34000 Montpellier,,,+33 4 67 42 80 33,,
Ecole maternelle Louis-Figuier - Ecole élémentaire Paul Bert- Victor Hugo,14 rue Farges 34000 Montpellier,3.8818749427812,43.6040988665753,+33 4 67 65 64 89,Tous les ans,2019-12-01
Crèche JOSEPHINE BAKER,164 avenue Jean Prat 34070 Montpellier,,,+33 4 99 54 53 50,Tous les ans,2020-11-10
"EHPAD ""Michel BELORGEOT""",41 impasse des Moulins 34000,,,+33 4 67 40 04 44,,
EHPAD Montpellieret,3 rue Fabre 34000,,,+33 4 67 66 14 98,,
Club La Cavalerie,28 rue de la Cavalerie 34000 Montpellier,,,+33 4 67 52 77 92,,
MEDIATHEQUE Victor HUGO,,,,,,
"EHPAD ""Mathilde LARTIGUE""",50 rue Louis Pergaud 34000 Montpellier,,,+33 4 67 75 25 70,,
MEDIATHEQUE GARCIA LLORCA,,,,,,
Crèche Antigone,10 rue Jeanne D'Arc 34000 Montpellier,,,+33 4 67 64 28 15,Tous les ans,2020-11-10
"Maison pour tous  
Mélina Mercouri",842 rue de la Vieille Poste 34000 Montpellier,3.90814703437764,43.6135606367422,+33 4 99 92 23 80,Tous les ans,2019-01-10
Cimetière Saint-Etienne,2 Rue Richard Wright 34000 Montpellier,3.93489103090574,43.6158729699952,+33 4 34 88 92 09,Tous les ans,2019-05-15
Cuisine Centrale,950 allée de la Martelle 34070 Montpellier,3.84157511981743,43.5994202550643,+33 4 67 15 92 69,Tous les ans,2019-10-07
Centre de Culture Contemporaine La Panacée,14 rue école de Pharmacie 34000 Montpellier,3.8782667806068,43.6125997375577,+33 4 34 88 79 79,Tous les ans,2019-10-07
Ancien Hôtel de Ville (Poste de Police Municipale),1 place Françis Ponge 34000 Montpellier,3.88414277239073,43.6093009254496,+33 4 67 34 71 45,Tous les ans,2019-11-07
Centre de vaccination de la ville de montpellier,2 place Paul Bec 34000 Montpellier,3.88644613599591,43.608650752262,+33 4 67 02 26 63,Tous les ans,2019-11-07
DAE Extérieur rue syracuse,Rue Syracuse 34000,,,+33 4 67 34 70 26,,
